date,employee_title,location,employee_status,outlook,recommend,approve_ceo,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Sat Jun 01 2019 00:34:17 GMT-0700 (Pacific Daylight Time),Senior Software Engineer,"San Ramon, CA",Current Employee,Neutral,Recommends,,Mass Layoffs Going on,1,,,,,1.0,3.0,3.0,2.0,3.0,3.0
Wed May 08 2019 04:51:08 GMT-0700 (Pacific Daylight Time),Applications Engineer,,Current Employee,Neutral,Doesn't Recommend,,"Not the worst, not the best",3,1,,,,3.0,5.0,2.0,3.0,3.0,2.0
Wed Apr 24 2019 18:12:26 GMT-0700 (Pacific Daylight Time),IT Operations Director,"South Burlington, VT",Former Employee,Neutral,Doesn't Recommend,,Big company experience,8,,,,,4.0,3.0,4.0,4.0,3.0,2.0
Tue Apr 23 2019 19:28:44 GMT-0700 (Pacific Daylight Time),Assembly Line Worker,"Milwaukee, WI",Former Employee,Neutral,Doesn't Recommend,,Assembly,8,,,,,5.0,5.0,4.0,2.0,5.0,5.0
Tue Apr 23 2019 08:45:50 GMT-0700 (Pacific Daylight Time),Technician,,Current Employee,Neutral,Doesn't Recommend,,Ok,,,,,,4.0,,,,,
Tue Apr 23 2019 09:37:57 GMT-0700 (Pacific Daylight Time),Senior Staff Engineer,"Schenectady, NY",Current Employee,Neutral,Doesn't Recommend,,GE,1,,,,,4.0,4.0,5.0,4.0,4.0,3.0
Tue May 07 2019 12:29:10 GMT-0700 (Pacific Daylight Time),Wellhead Field Service Tech,"International Falls, MN",Current Employee,Neutral,Doesn't Recommend,,"It is a good company, I worked for GE for 7 years and I do not regret.",8,,,,,3.0,3.0,3.0,4.0,4.0,3.0
Mon Apr 22 2019 13:16:03 GMT-0700 (Pacific Daylight Time),EHS Manager,,Current Employee,Neutral,Doesn't Recommend,,Great company,5,,,,,5.0,4.0,4.0,5.0,5.0,5.0
Mon May 06 2019 13:11:27 GMT-0700 (Pacific Daylight Time),Research Intern,"Niskayuna, NY",Former Employee,Neutral,Doesn't Recommend,,Internship,1,,,,,3.0,,,,,
Sat May 04 2019 16:09:34 GMT-0700 (Pacific Daylight Time),Production Control Leader,"Boston, MA",Former Employee,Neutral,Doesn't Recommend,,Not the place everyone thinks it is.,,1,,,,2.0,1.0,3.0,3.0,3.0,1.0
Thu Apr 18 2019 12:09:02 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Current Employee,Neutral,Doesn't Recommend,,"Ups and downs, like anywhere else",5,,,,,4.0,4.0,2.0,3.0,4.0,3.0
Tue Apr 30 2019 11:10:05 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Positive,Recommends,,Great exp!,3,,,,,3.0,4.0,4.0,4.0,4.0,4.0
Mon Apr 15 2019 22:12:33 GMT-0700 (Pacific Daylight Time),Software Engineer,"Salt Lake City, UT",Former Employee,Positive,Recommends,,GE,1,,,,,5.0,3.0,3.0,3.0,3.0,2.0
Sun Apr 28 2019 20:41:45 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Current Employee,Positive,Recommends,,Marketing,,,,,,3.0,,,,,
Sat Apr 13 2019 16:53:48 GMT-0700 (Pacific Daylight Time),Product Manager,"Austin, TX",Current Employee,Positive,Recommends,,Good,,,,,,5.0,5.0,,,,
Wed Apr 24 2019 18:05:57 GMT-0700 (Pacific Daylight Time),IT Manager,,Current Employee,Positive,Recommends,,Unless you are part of the management program...,1,1,,,,3.0,1.0,3.0,3.0,3.0,2.0
Wed May 15 2019 15:48:34 GMT-0700 (Pacific Daylight Time),Senior IT Program Manager,"Atlanta, GA",Former Employee,Positive,Recommends,,GE Sr. IT Program Manager,3,2,,,,1.0,1.0,1.0,1.0,2.0,1.0
Wed Apr 10 2019 10:35:16 GMT-0700 (Pacific Daylight Time),Systems Analyst,"Remote, OR",Current Employee,Positive,Recommends,,Opportunity with flexibility,1,,,,,4.0,5.0,5.0,4.0,5.0,4.0
Wed Apr 24 2019 07:51:45 GMT-0700 (Pacific Daylight Time),Senior Field Service Engineer,"Orlando, FL",Former Employee,Positive,Recommends,,working towards the future,1,,,,,2.0,1.0,2.0,2.0,3.0,2.0
Mon Apr 08 2019 07:59:06 GMT-0700 (Pacific Daylight Time),Sales Operations Analyst – Key National Accounts,"Louisville, KY",Current Employee,Positive,Recommends,,Nice place to work,,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Mon Apr 08 2019 08:41:02 GMT-0700 (Pacific Daylight Time),FMP,"Cincinnati, OH",Current Employee,Positive,Recommends,,"Great place to work, Great people",3,,,,,5.0,5.0,5.0,4.0,4.0,4.0
Mon Apr 08 2019 08:20:41 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Positive,Recommends,,Great company before all the issues happening,,,,,,4.0,4.0,5.0,3.0,3.0,4.0
Mon Apr 08 2019 10:09:40 GMT-0700 (Pacific Daylight Time),DTLP,"Milwaukee, WI",Current Employee,Positive,Recommends,,Great place to start career,1,,,,,4.0,4.0,3.0,5.0,4.0,4.0
Mon Apr 08 2019 13:58:31 GMT-0700 (Pacific Daylight Time),Software Quality Assurance,,Former Employee,Positive,Recommends,,Working Environment,3,,,,,4.0,4.0,4.0,3.0,3.0,3.0
Sun Apr 07 2019 14:22:51 GMT-0700 (Pacific Daylight Time),Financial Management Program,,Current Employee,Positive,Recommends,,Great program for learning and development; highly recommend,1,,,,,4.0,,,,,
